Spanish,Polish
de,z
que,że
no,Nie
a,a
la,.
el,.
y,Y
es,To jest
en,w
lo,to
un,a
por,za pomocą
qué,Co
me,I
una,a
los,.
se,Wiem
te,herbata
con,z
para,dla
está,ten
mi,ja
pero,ale
sí,TAk
si,TAk
bien,prawo
eso,jego
su,jego
las,.
yo,ja
del,z
como,Co
aquí,tutaj
tu,twój
al,do
más,plus
le,ty
esto,ten
todo,wszystko
ya,Już
estoy,jestem  
ahora,Teraz
muy,bardzo
ha,On ma
esta,jest
así,Więc
vamos,idziemy
algo,coś
hay,są
bueno,Dobra
tengo,Mam
él,.
cuando,gdy
estás,są
sé,ON
tú,twój
nos,nas
nada,każdy
cómo,Co
este,Wschód
o,zarówno
he,On
ser,być
tiene,mieć
puedo,Czy mogę
ella,Ona
quiero,Chcę
hacer,robić
fue,to było
gracias,Dziękuję Ci
vez,czas
era,to było
soy,jestem  
sólo,pojedynczy
todos,wszyscy
porque,dlatego
son,są
tienes,ty masz
creo,Myślę
voy,idę
sabes,wiesz
estaba,byłem
puede,Móc
eres,są
ese,że
usted,ty
entonces,następnie
hola,Witam
solo,tylko
verdad,PRAWDA
casa,Dom
tan,więc
quién,kto
sus,ich
tiempo,pogoda
dos,dwa
esa,ten
nunca,nigdy
dónde,gdzie
va,idzie
oh,Oh
favor,przychylność
mucho,dużo
mí,mój
quieres,chcesz
siento,czuję
señor,pan
mejor,lepiej
hace,czy
has,ty masz
decir,powiedzieć
también,Również
sobre,na 
dios,bóg
sin,bez
tenemos,mamy
están,Czy tak
ti,ty
puedes,możesz
ver,zegarek
hombre,mężczyźni
vida,życie
alguien,ktoś
cosas,rzeczy
siempre,na zawsze
hasta,aż do
ahí,tam
ir,iść
años,lata
antes,zanim
estar,być
ni,żaden
poco,trochę
día,dzień
uno,jeden
noche,noc
hecho,Gotowe
mis,mój
estamos,byli
otra,inny
acuerdo,umowa
trabajo,pracował
nosotros,nas
parece,Wydaje się
gente,ludzie
sea,być
padre,tata
mira,wyglądać
mismo,to samo
dijo,powiedział
nadie,nikt
quiere,chce
podría,mógłby
hablar,mówić
vas,ty idź
ellos,one
sr.,Pan.
tal,taki
pasa,dzieje się
fuera,poza
después,po
han,oni mają
desde,odkąd
dinero,pieniądze
mundo,świat
claro,Pewnie
momento,za chwilę
les,ich
tener,mieć
estado,stan
otro,inny
había,tam było
mañana,rano
tenía,miałem
madre,matka
vale,w porządku
lugar,miejsce
haciendo,zrobienie
donde,gdzie
seguro,Jasne
sabe,wie
podemos,Móc
tus,twój
espera,czekać
nuevo,Nowy
sido,został
cosa,rzeczy
hijo,syn
allí,tam
menos,mniej
tipo,Rodzaj
amigo,koleś
gran,Świetnie
nuestro,nasz
mujer,kobieta
mamá,pierś
luego,później
papá,ojciec
días,dni
dice,On mówi
hoy,Dziś
tres,trzy
buena,Dobry
necesito,potrzebne
dije,powiedział
oye,słyszy
gusta,tak jak
quería,poszukiwany
será,będzie
haber,mieć
parte,część
todas,wszystko
crees,Wierzysz
buen,Dobry
conmigo,ze mną
nombre,Nazwa
mierda,gówno
nuestra,nasz
mal,zło
debe,musi
realmente,Naprawdę
estas,te
aún,nawet
mío,Własny
toda,wszystko
hacerlo,Zrób to
cada,każdy
visto,oglądane
importa,To ma znaczenie
contigo,z Tobą
tienen,mieć
hemos,mamy
razón,powód
alguna,niektóre
tanto,tyle
saber,wiedzieć
hizo,zrobiony
veces,czasy
serio,śmiałem się
ven,chodź
idea,pomysł
eh,Hej
tarde,wieczór
problema,kwestia
hora,godzina
cierto,pewny
dicho,powiedzenie
quien,kto
demasiado,także
amor,kocham
entre,Wejdź
ve,iść
pasado,po
familia,rodzina
estos,te
policía,policjant
debería,powinien
ustedes,twój
chica,dziewczyna
esos,tych
chicos,Chłopcy
cuenta,rachunek
haces,ty robisz
todavía,już
salir,Odejdź
algún,niektóre
vaya,wow
unos,niektóre
veo,rozumiem
amigos,przyjaciele
hermano,brat
pensé,myślałem
sabía,wiedziałem
cabeza,głowa
ah,Ah
cariño,kochanie
digo,mówić
van,iść
hombres,męskie
buenas,Dobry
somos,są
cualquier,każdy
forma,Formularz
mientras,podczas gdy
lado,bok
debo,powinienem
sería,zrobiłbym
caso,walizka
pueden,mogą
pasó,Mijam
primera,pierwszy
genial,Fajny
chico,chłopak
supuesto,przypuszczalny
hice,Zrobiłem
pues,dobrze
adiós,PA
muchas,wiele
personas,ludzie
señora,Pani
volver,zwrócić
esas,tych
quizá,Może
contra,przeciwko
camino,droga
durante,w trakcie
hablando,mówić
manera,droga
muerto,nie żyje
persona,osoba
rápido,Szybki
cuál,który
ayuda,pomoc
historia,historia
iba,miałem zamiar
supongo,Chyba
nueva,Nowy
entiendo,rozumiem
dentro,w ciągu
casi,prawie
puerta,brama
ves,zobaczysz
pasar,spędzić
primero,pierwszy
significa,to znaczy
semana,tydzień
hacia,w stronę
quizás,być może
espero,czekać
juntos,razem
año,rok
niños,Dzieci
pronto,wczesny
tío,wujek
suerte,szczęście
ciudad,Miasto
siquiera,nawet
feliz,szczęśliwy
venir,przyjść
hija,córka
gustaría,chciałby
minutos,minuty
cuánto,ile
os,ty
hey,Hej
muerte,śmierć
dejar,wynajmować
realidad,rzeczywistość
deja,wynajmować
problemas,problemy
vi,widział
da,daje
importante,ważny
dijiste,powiedział
corazón,serce
miedo,strach
jefe,szef
agua,Woda
haré,zrobię
justo,tylko
horas,godziny
poder,Móc
buenos,dobre
esposa,żona
manos,ręce
debes,powinieneś
viene,pochodzi
venga,Pospiesz się
nuestros,nasz
ojos,oczy
adelante,dalej
encontrar,odnaleźć
mano,ręka
cinco,pięć
niño,mały chłopiec
ninguna,Żaden
otros,inni
cara,kosztowny
cuidado,Uważaj
bajo,gitara basowa
cerca,blisko
viejo,stary
déjame,pozwól mi
noches,Noce
bastante,Całkiem
fin,koniec
tomar,drink
único,unikalny
misma,to samo
escucha,słuchać
ningún,Żaden
suficiente,wystarczająco 
punto,punkt
cuándo,gdy
sigue,śledzić
haya,jest
equipo,ekwipunek
grande,Świetnie
necesita,musi
llegar,Dostawać
incluso,nawet
algunos,Niektóre
doctor,lekarz
difícil,ciężko
aunque,chociaż
hubiera,miał
primer,pierwszy
coche,samochód
hago,robię
clase,klasa
cuatro,cztery
mas,plus
dices,Mówisz
pequeño,mały
llama,połączenie
toma,nabierający
hiciste,zrobił
allá,tam
última,ostatni
arriba,w górę
tierra,Ziemia
guerra,wojna
pensar,myśleć
pueda,mogę
igual,Podobnie
loco,zwariowany
sangre,krew
mujeres,kobiety
vuelta,okrążenie
fui,byłem
trabajar,pracować
tenido,Barwiony
juego,bawić się
deberías,powinieneś
cuerpo,Ciało
e,oraz
algunas,niektóre
