Unnamed: 0,Spanish,Polish
0,de,z
1,que,że
2,no,Nie
3,a,a
4,la,.
5,el,.
6,y,Y
7,es,To jest
8,en,w
9,lo,to
10,un,a
11,por,za pomocą
12,qué,Co
13,me,I
14,una,a
15,los,.
16,se,Wiem
17,te,herbata
18,con,z
19,para,dla
20,está,ten
21,mi,ja
22,pero,ale
23,sí,TAk
24,si,TAk
25,bien,prawo
26,eso,jego
27,su,jego
28,las,.
29,yo,ja
30,del,z
31,como,Co
32,aquí,tutaj
33,tu,twój
34,al,do
35,más,plus
36,le,ty
37,esto,ten
38,todo,wszystko
39,ya,Już
40,estoy,jestem  
41,ahora,Teraz
42,muy,bardzo
43,ha,On ma
44,esta,jest
45,así,Więc
46,vamos,idziemy
47,algo,coś
48,hay,są
49,bueno,Dobra
50,tengo,Mam
51,él,.
52,cuando,gdy
53,estás,są
54,sé,ON
55,tú,twój
56,nos,nas
57,nada,każdy
58,cómo,Co
59,este,Wschód
60,o,zarówno
61,he,On
62,ser,być
63,tiene,mieć
64,puedo,Czy mogę
65,ella,Ona
66,quiero,Chcę
67,hacer,robić
68,fue,to było
69,gracias,Dziękuję Ci
70,vez,czas
71,era,to było
72,soy,jestem  
73,sólo,pojedynczy
74,todos,wszyscy
75,porque,dlatego
76,son,są
77,tienes,ty masz
78,creo,Myślę
79,voy,idę
80,sabes,wiesz
81,estaba,byłem
82,puede,Móc
83,eres,są
84,ese,że
85,usted,ty
86,entonces,następnie
87,hola,Witam
88,solo,tylko
89,verdad,PRAWDA
90,casa,Dom
91,tan,więc
92,quién,kto
93,sus,ich
94,tiempo,pogoda
95,dos,dwa
96,esa,ten
97,nunca,nigdy
98,dónde,gdzie
99,va,idzie
100,oh,Oh
101,favor,przychylność
102,mucho,dużo
103,mí,mój
104,quieres,chcesz
105,siento,czuję
106,señor,pan
107,mejor,lepiej
108,hace,czy
109,has,ty masz
110,decir,powiedzieć
111,también,Również
112,sobre,na 
113,dios,bóg
114,sin,bez
115,tenemos,mamy
116,están,Czy tak
117,ti,ty
118,puedes,możesz
119,ver,zegarek
120,hombre,mężczyźni
121,vida,życie
122,alguien,ktoś
123,cosas,rzeczy
124,siempre,na zawsze
125,hasta,aż do
126,ahí,tam
127,ir,iść
128,años,lata
129,antes,zanim
130,estar,być
131,ni,żaden
132,poco,trochę
133,día,dzień
134,uno,jeden
135,noche,noc
136,hecho,Gotowe
137,mis,mój
138,estamos,byli
139,otra,inny
140,acuerdo,umowa
141,trabajo,pracował
142,nosotros,nas
143,parece,Wydaje się
144,gente,ludzie
145,sea,być
146,padre,tata
147,mira,wyglądać
148,mismo,to samo
149,dijo,powiedział
150,nadie,nikt
151,quiere,chce
152,podría,mógłby
153,hablar,mówić
154,vas,ty idź
155,ellos,one
156,sr.,Pan.
157,tal,taki
158,pasa,dzieje się
159,fuera,poza
160,después,po
161,han,oni mają
162,desde,odkąd
163,dinero,pieniądze
164,mundo,świat
165,claro,Pewnie
166,momento,za chwilę
167,les,ich
168,tener,mieć
169,estado,stan
170,otro,inny
171,había,tam było
172,mañana,rano
173,tenía,miałem
174,madre,matka
175,vale,w porządku
176,lugar,miejsce
177,haciendo,zrobienie
178,donde,gdzie
179,seguro,Jasne
180,sabe,wie
181,podemos,Móc
182,tus,twój
183,espera,czekać
184,nuevo,Nowy
185,sido,został
186,cosa,rzeczy
187,hijo,syn
188,allí,tam
189,menos,mniej
190,tipo,Rodzaj
191,amigo,koleś
192,gran,Świetnie
193,nuestro,nasz
194,mujer,kobieta
195,mamá,pierś
196,luego,później
197,papá,ojciec
198,días,dni
199,dice,On mówi
200,hoy,Dziś
201,tres,trzy
202,buena,Dobry
203,necesito,potrzebne
204,dije,powiedział
205,oye,słyszy
206,gusta,tak jak
207,quería,poszukiwany
208,será,będzie
209,haber,mieć
210,parte,część
211,todas,wszystko
212,crees,Wierzysz
213,buen,Dobry
214,conmigo,ze mną
215,nombre,Nazwa
216,mierda,gówno
217,nuestra,nasz
218,mal,zło
219,debe,musi
220,realmente,Naprawdę
221,estas,te
222,aún,nawet
223,mío,Własny
224,toda,wszystko
225,hacerlo,Zrób to
226,cada,każdy
227,visto,oglądane
228,importa,To ma znaczenie
229,contigo,z Tobą
230,tienen,mieć
231,hemos,mamy
232,razón,powód
233,alguna,niektóre
234,tanto,tyle
235,saber,wiedzieć
236,hizo,zrobiony
237,veces,czasy
238,serio,śmiałem się
239,ven,chodź
240,idea,pomysł
241,eh,Hej
242,tarde,wieczór
243,problema,kwestia
244,hora,godzina
245,cierto,pewny
246,dicho,powiedzenie
247,quien,kto
248,demasiado,także
249,amor,kocham
250,entre,Wejdź
251,ve,iść
252,pasado,po
253,familia,rodzina
254,estos,te
255,policía,policjant
256,debería,powinien
257,ustedes,twój
258,chica,dziewczyna
259,esos,tych
260,chicos,Chłopcy
261,cuenta,rachunek
262,haces,ty robisz
263,todavía,już
264,salir,Odejdź
265,algún,niektóre
266,vaya,wow
267,unos,niektóre
268,veo,rozumiem
269,amigos,przyjaciele
270,hermano,brat
271,pensé,myślałem
272,sabía,wiedziałem
273,cabeza,głowa
274,ah,Ah
275,cariño,kochanie
276,digo,mówić
277,van,iść
278,hombres,męskie
279,buenas,Dobry
280,somos,są
281,cualquier,każdy
282,forma,Formularz
283,mientras,podczas gdy
284,lado,bok
285,debo,powinienem
286,sería,zrobiłbym
287,caso,walizka
288,pueden,mogą
289,pasó,Mijam
290,primera,pierwszy
291,genial,Fajny
292,chico,chłopak
293,supuesto,przypuszczalny
294,hice,Zrobiłem
295,pues,dobrze
296,adiós,PA
297,muchas,wiele
298,personas,ludzie
299,señora,Pani
300,volver,zwrócić
301,esas,tych
302,quizá,Może
303,contra,przeciwko
304,camino,droga
305,durante,w trakcie
306,hablando,mówić
307,manera,droga
308,muerto,nie żyje
309,persona,osoba
310,rápido,Szybki
311,cuál,który
312,ayuda,pomoc
313,historia,historia
314,iba,miałem zamiar
315,supongo,Chyba
316,nueva,Nowy
317,entiendo,rozumiem
318,dentro,w ciągu
319,casi,prawie
320,puerta,brama
321,ves,zobaczysz
322,pasar,spędzić
323,primero,pierwszy
324,significa,to znaczy
